state_id,state_name,state_flag_image_url,geom
Baden-Württemberg,Baden-Württemberg,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_state_flags/Flag_of_Baden-Württemberg.svg,
Bavaria,Bavaria,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_state_flags/Flag_of_Bavaria.svg,
Berlin,Berlin,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_state_flags/Flag_of_Berlin.svg,
Brandenburg,Brandenburg,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_state_flags/Flag_of_Brandenburg.svg,
Bremen,Bremen,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_state_flags/Flag_of_Bremen.svg,
Hamburg,Hamburg,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_state_flags/Flag_of_Hamburg.svg,
Hesse,Hesse,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_state_flags/Flag_of_Hesse.svg,
Lower_Saxony,Lower Saxony,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_state_flags/Flag_of_Lower_Saxony.svg,
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_state_flags/Flag_of_Mecklenburg-Vorpommern.svg,
North_Rhine-Westphalia,North Rhine-Westphalia,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_state_flags/Flag_of_North_Rhine-Westphalia.svg,
Rhineland-Palatinate,Rhineland-Palatinate,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_state_flags/Flag_of_Rhineland-Palatinate.svg,
Saarland,Saarland,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_state_flags/Flag_of_Saarland.svg,
Saxony,Saxony,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_state_flags/Flag_of_Saxony.svg,
Saxony-Anhalt,Saxony-Anhalt,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_state_flags/Flag_of_Saxony-Anhalt.svg,
Schleswig-Holstein,Schleswig-Holstein,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_state_flags/Flag_of_Schleswig-Holstein.svg,
Thuringia,Thuringia,https://raw.githubusercontent.com/Prasadmadhusanka/pm-data-files/main/images/german_state_flags/Flag_of_Thuringia.svg,
